"uid","gene_name","alias","desc","id","gene_id","group","expression","GENENAME","GO"
547619,"SHOOT2","GLYMA_19G190000","SHOOT2 protein",111713,"MSTRG.37698","t20","down",NA,NA
837387,"PPCK2","AT1G08650, ATPPCK1, PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE, PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE 1, phosphoenolpyruvate carboxylase kinase 1","phosphoenolpyruvate carboxylase kinase 1",117994,"MSTRG.39869","t20","down",NA,NA
852871,"BOR2","YGL013C, AMY1, ANT1, BOR2, CYH3, NRA2, SMR2, TIL1, TPE1, TPE3","drug-responsive transcription factor PDR1",32734,"MSTRG.11240","t20","down",NA,NA
100037478,"SACPD-C","GLYMA_14G121400, FAB2.3","stearoyl-ACP desaturase",84260,"MSTRG.28545","t20","down",NA,NA
100101876,"BZIP71","GLYMA_06G040400","transcription factor bZIP71",29611,"MSTRG.10076","t20","down",NA,NA
100305477,"LOC100305477","GLYMA_03G180700","V-type proton ATPase subunit G-like protein",15631,"MSTRG.5257","t20","down",NA,NA
100305771,"LOC100305771","GLYMA_13G301400","uncharacterized LOC100305771",79118,"MSTRG.26861","t20","down",NA,NA
100306090,"LOC100306090","GLYMA_11G098100","uncharacterized LOC100306090",63621,"MSTRG.21723","t20","down",NA,NA
100306683,"LOC100306683","GLYMA_17G117200","uncharacterized LOC100306683",98598,"MSTRG.33448","t20","down",NA,NA
100500345,"LOC100500345","GLYMA_11G235000","uncharacterized LOC100500345",66827,"MSTRG.22804","t20","down",NA,NA
100500459,"LOC100500459","GLYMA_05G068500v4","FCS-like zinc-finger domain-containing protein",24704,"MSTRG.8424","t20","down",NA,NA
100527371,"LOC100527371","GLYMA_19G213100","uncharacterized LOC100527371",112231,"MSTRG.37911","t20","down",NA,NA
100527721,"LOC100527721","GLYMA_11G060500","uncharacterized LOC100527721",62912,"MSTRG.21415","t20","down",NA,NA
100775182,"LOC100775182","GLYMA_08G004800","alcohol dehydrogenase",41598,"MSTRG.14095","t20","down",NA,NA
100775486,"LOC100775486","GLYMA_05G048500","zinc finger protein SHOOT GRAVITROPISM 5",24234,"MSTRG.8279","t20","down",NA,NA
100775553,"LOC100775553","GLYMA_08G175400","nicotianamine synthase",45226,"MSTRG.15473","t20","down",NA,NA
100776345,"LOC100776345","GLYMA_03G178000","40S ribosomal protein S23-like",15558,"MSTRG.5231","t20","down",NA,NA
100777720,"LOC100777720","GLYMA_10G057800","uncharacterized LOC100777720",56345,"MSTRG.19204","t20","down",NA,NA
100778024,"LOC100778024","GLYMA_14G096700","glutaredoxin-C6",82834,"MSTRG.28212","t20","down",NA,NA
100779051,"LOC100779051","GLYMA_05G009000","early nodulin-93",23377,"MSTRG.7963","t20","down",NA,NA
100779467,"LOC100779467","GLYMA_16G062000","kelch repeat-containing protein At3g27220",92815,"MSTRG.31444","t20","down",NA,NA
