"uid","gene_name","alias","desc","id","gene_id","group","expression","GENENAME","GO"
189,"PTS1","AGT, AGT1, AGXT1, PH1, SPAT, SPT, Ser-PyrAT, TLH6","alanine--glyoxylate aminotransferase",14952,"MSTRG.5007","t40","up",NA,NA
351,"CAMK1","AAA, ABETA, ABPP, AD1, APPI, CTFgamma, CVAP, PN-II, PN2, alpha-sAPP, preA4","amyloid beta precursor protein",71964,"MSTRG.24430","t40","up",NA,NA
1401,"POD","PTX1","C-reactive protein",9051,"MSTRG.3099","t40","up",NA,NA
1956,"PC7","ERBB, ERBB1, ERRP, HER1, NISBD2, PIG61, mENA","epidermal growth factor receptor",118821,"MSTRG.40134","t40","up",NA,NA
2099,"TUBB1","ER, ESR, ESRA, ESTRR, Era, NR3A1","estrogen receptor 1",41798,"MSTRG.14164","t40","up",NA,NA
2158,"HEMB","F9 p22, FIX, HEMB, P19, PTC, THPH8","coagulation factor IX",22801,"MSTRG.7706","t40","up",NA,NA
2908,"PRP2","GCCR, GCR, GCRST, GR, GRL","nuclear receptor subfamily 3 group C member 1",51205,"MSTRG.17443","t40","up",NA,NA
2944,"GSTT2","GST1, GSTM1-1, GSTM1a-1a, GSTM1b-1b, GTH4, GTM1, H-B, MU, MU-1","glutathione S-transferase mu 1",27794,"MSTRG.9395","t40","up",NA,NA
4780,"NRP-B","HEBP1, IMDDHH, NRF2, Nrf-2","NFE2 like bZIP transcription factor 2",28080,"MSTRG.9492","t40","up",NA,NA
4952,"PIP2-5","DENT2, Dent-2, INPP5F, LOCR, NPHL2, OCRL-1, OCRL1","OCRL inositol polyphosphate-5-phosphatase",71085,"MSTRG.24099","t40","up",NA,NA
5788,"CHR1","B220, CD45, CD45R, GP180, IMD105, L-CA, LCA, LY5, T200","protein tyrosine phosphatase receptor type C",80857,"MSTRG.27489","t40","up",NA,NA
5873,"GS-2","GS2, HsT18676, RAB27, RAM","RAB27A, member RAS oncogene family",77229,"MSTRG.26146","t40","up",NA,NA
6774,"STP","ADMIO, ADMIO1, APRF, HIES","signal transducer and activator of transcription 3",64101,"MSTRG.21906","t40","up",NA,NA
7157,"Ep","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",49830,"MSTRG.16972","t40","up",NA,NA
7157,"ACS","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",41901,"MSTRG.14208","t40","up",NA,NA
7157,"SIK1","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",7470,"MSTRG.2595","t40","up",NA,NA
7157,"MAPK1","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",64665,"MSTRG.22130","t40","up",NA,NA
7157,"NSP1","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",36505,"MSTRG.12382","t40","up",NA,NA
7157,"NIR","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",8137,"MSTRG.2818","t40","up",NA,NA
7157,"H4","BCC7, BMFS5, LFS1, P53, TRP53","tumor protein p53",96709,"MSTRG.32714","t40","up",NA,NA
7316,"ACS1","HMG20","ubiquitin C",27958,"MSTRG.9439","t40","up",NA,NA
7421,"SRC2","NR1I1, PPP1R163","vitamin D receptor",88835,"MSTRG.30201","t40","up",NA,NA
8877,"SPK-1","SPHK","sphingosine kinase 1",4455,"MSTRG.1481","t40","up",NA,NA
9612,"COR2","CTG26, N-CoR2, SMAP270, SMRT, SMRTE, SMRTE-tau, TNRC14, TRAC, TRAC-1, TRAC1","nuclear receptor corepressor 2",50296,"MSTRG.17156","t40","up",NA,NA
12567,"CRK3","Crk3","cyclin-dependent kinase 4",5287,"MSTRG.1791","t40","up",NA,NA
12568,"CRK6","Crk6","cyclin-dependent kinase 5",6122,"MSTRG.2131","t40","up",NA,NA
20861,"STF-3","Stefin-3, Stf-3, Stf1, Stf3, Stfa3","stefin A1",82604,"MSTRG.28119","t40","up",NA,NA
21898,"SCA1","Lps, Ly87, Ran/M1, Rasl2-8","toll-like receptor 4",4273,"MSTRG.1405","t40","up",NA,NA
22431,"AOC1","D630046I19Rik, Wt-1","WT1 transcription factor",2038,"MSTRG.680","t40","up",NA,NA
24835,"AO","RATTNF, TNF-alpha, Tnfa","tumor necrosis factor",114289,"MSTRG.38600","t40","up",NA,NA
35588,"AOX3","Dmel_CG34392, CG15235, CG3427, CG34392, D-EPAC, D-Epac, Dm_2R:10367, Dmel\CG34392, Dmel_CG15235, Dmel_CG3427, epac","Exchange protein directly activated by cAMP",43025,"MSTRG.14647","t40","up",NA,NA
41275,"41275","Dmel_CG14688, CG14688, Dmel\CG14688, PHYH, PHYHD1","Phytanoyl-CoA dioxygenase domain containing 1",102605,"MSTRG.34808","t40","up",NA,NA
41640,"41640","Dmel_CG8790, BcDNA:GH02431, CG8790, DmDic1p, Dmel\CG8790","Dicarboxylate carrier 1",17848,"MSTRG.6126","t40","up",NA,NA
54106,"SODB","CD289","toll like receptor 9",117454,"MSTRG.39670","t40","up",NA,NA
57572,"AOS2","AOS2, ZIR1","dedicator of cytokinesis 6",101402,"MSTRG.34341","t40","up",NA,NA
80279,"HSF-27","C53, HSF-27, IC53, LZAP, MST016, OK/SW-cl.114, PP1553","CDK5 regulatory subunit associated protein 3",76612,"MSTRG.25919","t40","up",NA,NA
542391,"GA2OX1","ZEAMMB73_Zm00001d033859, GRMZM2G017087, KN-1, kn1","knotted 1",5587,"MSTRG.1913","t40","up",NA,NA
547454,"LOC547454","GLYMA_09G126200","Chitinase III-A",51866,"MSTRG.17611","t40","up",NA,NA
547482,"B13-1-9","GLYMA_03G201300","syringolide-induced protein B13-1-9",16025,"MSTRG.5416","t40","up",NA,NA
547483,"B15-3-5","GLYMA_03G001500","syringolide-induced protein B15-3-5",11883,"MSTRG.4104","t40","up",NA,NA
547527,"LOC547527","","extensin-like",95129,"MSTRG.32100","t40","up",NA,NA
547561,"LOC547561","GLYMA_16G137200","resistance protein LM12",94512,"MSTRG.31879","t40","up",NA,NA
